年;月;日;时;分;秒;纬;经;mw
2012;7;6;3;44;40;39.0;110.71;4.4
2012;7;11;14;48;26;35.53;76.39;3.76
2012;7;11;15;22;26;35.57;76.53;4.3
2012;7;12;5;35;45;38.12;74.7;4.9
2012;7;12;12;21;51;40.46;122.28;3.76
2012;7;12;18;49;21;43.61;84.66;4.34
2012;7;13;1;46;33;36.97;120.17;4.21
2012;7;13;19;18;51;29.46;102.98;4.21
2012;7;14;5;50;27;31.38;103.18;3.87
2012;7;15;3;42;23;33.71;88.42;3.98
2012;7;16;14;35;55;29.47;107.6;3.65
2012;7;19;20;29;29;33.58;89.25;4.09
2012;7;20;12;24;42;33.05;119.57;3.76
2012;7;20;12;31;40;33.1;119.44;4.21
2012;7;20;12;38;6;33.0;119.56;4.09
2012;7;20;16;40;24;33.17;86.03;3.65
2012;7;24;3;10;20;37.61;91.98;3.87
2012;7;24;15;50;7;29.07;102.44;4.09
2012;7;26;23;59;55;25.66;100.03;4.22
2012;7;27;19;52;2;33.56;89.09;3.87
2012;7;28;9;2;20;35.39;102.66;3.76
2012;7;28;12;56;50;39.57;88.28;4.44
2012;8;1;7;44;59;39.63;88.23;4.4
2012;8;1;19;50;5;29.96;85.47;4.22
2012;8;5;1;50;37;42.52;85.78;4.52
2012;8;7;23;28;42;38.67;72.98;4.32
2012;8;9;6;29;7;30.48;94.98;4.4
2012;8;9;13;12;5;28.44;86.79;3.87
2012;8;11;3;14;28;39.14;110.68;3.76
2012;8;12;11;4;32;35.8;82.6;3.65
2012;8;12;12;8;42;35.79;82.48;3.76
2012;8;12;14;24;54;35.66;82.71;3.76
2012;8;13;16;32;18;41.8;81.64;4.4
2012;8;13;19;18;29;35.85;82.6;3.76
2012;8;14;20;33;2;35.66;82.46;4.67
2012;8;16;4;46;3;30.33;94.75;4.09
2012;8;20;5;55;17;35.7;82.37;4.34
2012;8;20;21;7;28;38.38;74.24;4.46
2012;8;22;11;4;19;27.66;100.4;4.32
2012;8;25;8;52;51;28.4;104.83;3.87
2012;8;27;1;42;25;35.31;98.95;3.87
2012;8;29;16;3;25;43.8;85.33;3.65
2012;8;30;15;7;45;44.22;83.72;4.21
2012;8;31;9;12;53;46.54;86.87;4.46
2012;9;3;13;30;31;27.15;90.33;4.21
2012;9;6;5;5;33;35.71;82.91;3.87
2012;9;6;11;33;53;41.67;81.13;4.09
2012;9;7;3;58;2;27.59;104.1;4.32
2012;9;7;4;6;4;27.55;104.01;4.19
2012;9;8;11;47;28;27.57;104.0;4.83
2012;9;8;15;41;49;29.88;88.05;4.28
2012;9;12;21;12;30;27.52;104.18;3.87
2012;9;12;21;15;3;27.51;104.06;4.34
2012;9;14;3;31;33;43.55;82.32;4.21
2012;9;15;23;12;13;30.01;92.01;4.34
2012;9;16;15;54;8;37.99;74.42;4.28
2012;9;17;2;43;46;37.51;112.42;3.54
2012;9;19;19;46;32;38.75;74.86;3.76
2012;9;21;21;49;9;36.33;82.46;3.76
2012;9;23;3;49;49;37.8;123.34;4.22
2012;9;25;2;16;54;31.84;110.1;4.19
2012;9;29;3;10;3;38.56;102.69;4.22
2012;10;7;18;24;20;39.86;74.72;3.65
2012;10;8;14;45;32;37.08;74.93;3.87
2012;10;8;15;5;58;31.44;104.06;4.09
2012;10;9;5;55;53;29.01;103.94;4.28
2012;10;12;4;10;15;36.64;83.08;4.4
2012;10;13;14;8;6;26.2;103.12;4.09
2012;10;14;16;30;8;40.8;74.07;4.32
2012;10;18;12;2;30;34.8;80.14;3.87
2012;10;18;22;31;23;33.13;84.11;4.21
2012;10;19;4;41;41;42.97;85.24;3.98
2012;10;23;8;48;6;35.48;77.26;4.09
2012;10;24;2;48;2;28.35;104.32;3.87
2012;10;25;22;11;19;35.99;82.74;3.54
2012;10;26;1;52;55;39.96;75.88;4.44
2012;10;29;10;43;50;34.39;82.5;3.87
2012;10;29;13;6;30;45.0;86.02;3.98
2012;11;3;13;23;39;39.41;110.42;3.76
2012;11;4;2;13;28;29.59;81.78;4.79
2012;11;11;0;59;0;29.36;105.32;3.87
2012;11;12;12;42;26;29.64;81.69;3.98
2012;11;14;21;0;11;34.84;80.68;3.87
2012;11;16;21;25;1;32.25;96.35;3.76
2012;11;17;11;13;29;39.57;98.2;3.76
2012;11;17;11;45;58;33.11;105.05;3.98
2012;11;22;1;21;43;39.04;75.47;4.09
2012;11;22;14;24;30;39.46;110.08;3.98
2012;11;22;19;55;57;32.77;88.3;3.98
2012;11;23;18;44;39;34.64;80.61;4.09
2012;11;27;9;4;28;39.02;80.98;3.76
2012;12;1;3;34;3;34.85;80.66;3.98
2012;12;2;23;10;8;40.09;113.23;4.21
2012;12;9;15;23;19;27.43;103.78;3.54
2012;12;9;17;54;17;30.11;88.17;4.09
2012;12;11;15;26;0;31.25;104.0;4.79
2012;12;16;22;52;45;40.31;90.3;4.34
2012;12;19;3;4;59;43.64;86.32;4.09
2012;12;25;23;9;32;39.49;74.73;4.21
2012;12;28;10;21;40;28.96;106.97;4.21
2012;12;29;10;0;49;30.03;88.15;4.44
2012;12;29;22;51;28;25.3;99.97;4.21
2013;1;7;5;32;43;28.22;94.24;4.67
2013;1;22;10;43;10;39.44;73.11;4.56
2013;1;28;17;31;46;42.65;79.54;4.32
2013;1;31;2;29;55;43.93;86.3;3.98
2013;2;2;4;13;25;39.68;74.19;4.32
2013;2;7;4;24;52;42.25;96.81;4.21
2013;2;26;15;46;20;39.2;74.58;4.21
2013;3;4;15;42;23;31.0;103.59;4.09
2013;3;17;4;17;39;29.1;95.87;4.21
2013;4;14;19;38;36;35.27;81.51;4.09
2013;4;19;6;35;53;27.33;87.85;5.25
2013;4;20;0;2;53;30.22;103.12;4.21
2013;4;20;0;31;36;30.39;103.01;4.9
2013;4;20;0;37;12;30.18;102.93;4.9
2013;4;20;1;10;55;30.42;103.03;4.32
2013;4;20;1;31;43;30.36;103.31;4.56
2013;4;20;1;37;28;30.28;103.0;4.21
2013;4;20;2;1;42;30.23;103.11;4.32
2013;4;20;2;12;34;30.26;102.96;4.44
2013;4;20;2;19;4;30.33;103.05;4.21
2013;4;20;3;40;21;29.85;102.82;4.67
2013;4;20;3;55;38;30.29;102.93;4.09
2013;4;20;6;43;22;30.09;103.16;4.44
2013;4;20;7;18;33;30.37;102.99;4.32
2013;4;21;4;39;19;30.3;103.05;4.44
2013;4;23;14;7;20;30.4;103.11;3.98
2013;5;2;13;16;10;30.31;103.12;4.32
2013;5;3;11;46;43;40.84;79.99;4.09
2013;5;4;20;23;47;42.62;85.89;4.21
2013;5;6;19;45;6;28.42;105.09;4.67
2013;5;8;5;53;41;36.04;99.34;4.44
2013;5;10;23;30;10;30.28;102.98;4.09
2013;6;6;19;0;53;27.88;90.12;3.86
2013;6;29;14;26;17;41.58;89.15;4.32
2013;7;5;4;32;35;39.4;95.12;4.21
2013;7;5;21;9;55;30.22;102.96;4.09
2013;7;11;18;48;12;29.09;95.94;4.21
2013;7;14;12;44;59;34.64;91.08;4.09
2013;7;16;18;1;40;28.28;104.96;4.44
2013;7;22;0;9;43;34.55;104.22;5.02
2013;7;22;7;28;9;34.5;104.15;4.21
2013;8;31;11;18;34;28.23;99.37;4.32
1995;7;11;22;37;8;21.77;98.87;4.56
1995;7;12;3;56;59;20.94;98.99;4.21
1995;7;12;6;2;58;21.83;99.05;4.83
1995;7;12;8;14;34;21.92;99.13;4.21
1995;7;12;9;44;55;21.83;99.03;5.14
1995;6;21;3;15;58;20.11;103.38;4.83
1995;5;16;21;48;8;17.79;96.39;6.27
1995;1;19;6;33;17;28.34;83.28;4.32
1994;9;17;8;41;32;22.36;92.03;3.76
1994;7;2;20;45;31;36.66;68.69;5.14
1993;12;21;10;4;6;22.27;103.4;4.71
1993;11;30;21;59;25;50.84;98.49;4.44
1993;9;7;17;12;42;51.78;97.85;4.09
1993;7;5;21;41;44;28.04;85.09;3.75
1993;3;21;7;48;47;38.92;70.62;4.96
1992;12;27;21;9;37;39.6;71.7;4.96
1992;11;3;17;31;24;35.34;123.33;5.26
1992;11;11;23;2;27;38.93;125.75;4.32
1992;9;18;11;42;34;21.87;117.15;4.83
1992;8;19;8;51;27;42.23;73.52;4.09
1992;8;19;10;17;35;42.29;73.24;5.14
1992;8;21;4;14;32;42.28;73.46;4.96
1992;7;7;15;41;15;35.16;71.54;4.3
1992;7;7;16;56;13;23.63;93.19;3.87
1992;7;9;2;9;24;22.7;93.22;4.84
1992;7;12;15;56;55;27.59;96.13;3.98
1992;7;30;16;6;43;51.79;98.39;4.89
1992;5;11;11;23;43;36.9;73.1;5.08
1992;4;7;5;23;4;37.16;73.02;4.32
1992;4;23;14;18;38;22.47;99.0;6.07
1992;4;23;15;32;51;22.44;98.91;6.13
1992;3;2;14;48;17;30.44;78.61;3.98
1992;1;3;1;35;59;51.02;97.86;3.44
1992;1;4;0;44;20;37.21;71.78;3.51
1992;1;4;14;12;30;38.9;69.86;5.02
1992;1;16;23;8;58;21.85;94.73;4.74
1992;1;22;18;28;0;25.52;97.76;3.87
1992;1;30;5;55;45;29.42;81.18;4.67
1992;1;30;17;15;11;37.5;70.96;4.21
1991;12;25;4;28;12;40.92;71.19;4.52
1991;11;5;2;11;19;18.94;97.95;3.86
1991;10;11;2;26;29;22.0;104.96;4.09
1991;10;19;22;41;16;30.79;78.67;5.2
1991;10;20;1;21;0;30.39;78.62;4.09
1991;6;4;21;36;17;44.77;99.85;4.56
1991;3;30;15;23;33;39.1;71.13;4.32
1990;11;26;9;57;13;44.33;97.52;5.14
1990;9;1;2;43;43;19.3;99.41;3.63
1990;5;3;10;2;22;42.93;76.94;5.02
1990;5;14;10;43;49;37.08;73.59;3.98
1990;3;3;5;53;38;32.87;74.15;4.52
1990;3;5;20;51;15;36.68;73.01;5.95
1990;3;6;1;19;59;36.99;73.4;4.67
1990;3;6;14;43;9;33.24;75.39;3.98
1990;3;6;18;22;13;37.03;73.53;4.09
1990;3;10;20;5;18;36.59;73.25;3.75
1990;3;14;17;39;23;36.84;73.07;5.08
1990;3;25;15;10;39;36.96;72.98;5.25
1990;3;25;16;26;6;36.96;72.99;4.9
1990;3;26;22;19;29;37.06;72.98;4.9
1990;2;8;13;18;39;20.36;99.15;4.41
1989;10;8;10;3;29;20.22;99.19;4.44
1989;10;11;20;51;46;20.31;98.82;4.89
1989;9;29;4;33;34;20.2;98.73;4.09
1989;8;15;2;10;42;36.92;71.97;4.67
1989;8;20;4;42;33;20.31;99.32;4.67
1989;8;28;19;8;53;29.32;79.98;3.86
1989;7;23;12;1;30;54.44;125.48;5.26
1989;5;3;19;59;16;39.01;70.73;4.77
1989;4;7;21;39;40;20.43;100.65;4.21
1989;3;1;9;28;53;21.53;97.85;5.02
1989;3;4;19;43;16;50.75;99.81;4.79
1989;2;12;23;49;15;50.99;84.15;4.67
1989;2;14;18;22;28;43.28;102.58;4.71
1988;12;2;16;59;12;29.55;81.28;4.56
1988;11;4;18;3;52;20.4;108.09;4.96
1988;9;11;11;2;57;19.09;95.79;4.21
1988;8;8;14;31;55;21.08;103.06;4.89
1988;7;26;13;33;2;35.82;69.42;4.67
1988;5;25;22;52;53;46.51;98.88;4.09
1987;10;3;14;44;10;36.93;71.29;4.3
1987;9;16;17;57;23;52.12;95.71;5.08
1987;1;6;10;45;55;21.56;106.23;4.95
1987;1;19;7;46;23;28.41;83.69;5.26
1986;12;22;14;12;41;28.87;83.02;4.41
1986;12;26;16;2;22;38.79;70.14;3.98
1986;10;1;11;11;45;41.92;76.74;4.77
1986;9;17;19;57;11;20.03;97.96;4.44
1986;8;16;18;52;11;38.64;70.14;4.41
1986;7;2;2;9;58;25.04;96.82;4.44
1986;6;26;18;19;41;43.32;103.16;4.41
1986;4;26;7;35;15;31.59;76.06;5.54
1986;3;5;23;52;7;21.91;103.21;4.44
1986;2;7;19;47;32;37.72;71.1;3.98
1986;1;27;8;35;6;22.88;95.92;4.9
1985;12;24;23;4;8;18.34;97.24;5.45
1985;8;19;13;41;19;22.16;102.68;4.9
1985;8;19;16;31;48;22.14;102.7;5.14
1985;5;18;6;50;52;40.84;71.15;5.08
1985;3;20;13;54;53;20.78;101.71;5.33
1984;12;30;23;33;38;24.71;92.91;6.02
1984;10;26;20;22;20;39.2;71.35;6.12
1984;4;21;20;34;21;34.99;73.64;3.98
1984;2;18;16;16;28;40.67;71.14;4.84
1984;2;19;6;13;47;40.92;70.99;4.52
1983;10;9;7;50;33;38.61;72.46;3.98
1983;1;19;12;9;33;25.66;91.52;5.06
1982;12;1;1;34;38;20.51;104.34;4.3
1981;9;12;7;15;52;35.69;73.66;6.13
1981;6;30;21;55;48;23.0;95.45;4.93
1981;3;3;5;52;38;39.14;72.5;5.4
1979;8;10;9;50;51;39.07;69.05;4.65
1979;7;10;12;55;44;38.55;69.12;4.3
1977;3;8;15;28;47;38.0;69.52;4.95
1975;9;18;23;1;55;20.0;98.4;4.95
1975;2;17;3;38;22;17.65;97.87;5.96
1974;3;22;18;13;38;49.83;90.89;5.52
1964;12;2;12;31;42;38.91;70.55;4.52
1959;7;31;19;53;6;38.89;70.39;5.6
1958;1;7;6;5;12;38.84;70.3;5.77
1957;1;13;11;38;19;38.78;70.51;5.51
1957;2;6;20;34;60;50.29;105.33;6.35
1953;2;23;0;46;11;29.53;81.38;5.82
1952;8;13;3;14;25;37.4;69.82;5.69
1942;2;14;10;44;59;40.78;72.17;5.77
1938;10;19;4;13;30;49.08;89.72;6.96
1938;12;17;16;35;29;47.74;92.53;6.42
1936;8;29;12;41;54;38.34;72.17;5.47
1930;12;3;18;51;47;18.23;96.3;7.43
1922;8;25;19;29;46;50.04;90.85;6.56
1997;8;9;4;14;57;35.12;124.71;4.09
1997;8;15;18;59;25;43.35;77.98;3.86
1997;2;10;7;1;0;47.5;81.03;3.98
1997;7;27;18;32;3;33.56;122.36;5.33
1997;11;24;20;56;17;44.17;101.21;3.65
1997;11;24;23;13;29;49.08;89.54;4.89
1998;5;30;9;25;50;37.18;70.18;3.75
1998;6;6;17;8;31;31.65;77.46;3.76
1998;6;14;14;12;6;38.66;70.33;4.77
1998;6;22;20;4;36;37.33;70.4;4.53
1998;6;26;7;39;12;17.73;95.94;3.98
1998;9;3;7;52;45;36.39;125.82;3.65
1998;9;13;11;42;11;36.17;127.05;3.98
1998;10;8;8;5;24;37.53;70.4;4.83
1998;11;30;12;0;49;17.08;95.29;4.59
1998;12;13;9;4;52;50.73;96.42;4.71
1999;4;11;0;5;22;44.3;99.14;4.34
1999;4;28;13;0;48;33.26;73.56;4.59
1999;7;18;21;51;48;37.39;72.34;4.97
1999;9;7;0;28;45;51.25;97.46;4.52
1999;12;31;2;54;44;52.12;93.88;4.34
1999;5;7;17;12;3;30.18;79.29;4.56
1999;5;13;20;38;34;42.51;78.8;3.75
1999;12;6;21;15;40;39.14;72.71;3.87
2000;3;17;10;52;52;38.82;72.17;3.87
2000;4;22;11;44;34;50.47;89.46;4.65
2000;5;17;12;8;33;49.57;105.12;4.46
2000;6;8;12;21;9;26.43;97.41;5.14
2000;10;9;10;38;23;40.82;72.64;4.3
2000;2;11;17;21;17;46.26;104.47;3.54
2000;10;7;8;57;54;52.31;88.27;4.19
2001;4;17;19;21;1;51.59;95.87;4.4
2001;5;11;23;14;2;48.86;99.21;3.76
2001;7;2;17;7;22;44.04;98.37;4.59
2001;2;3;20;10;20;44.46;104.44;4.44
2001;2;19;19;2;51;21.68;103.15;4.71
2001;11;5;8;29;46;50.48;97.69;4.32
2001;1;30;14;50;43;32.96;76.49;3.28
2000;11;18;18;55;28;26.76;94.45;3.87
2002;2;17;9;39;6;42.92;70.51;4.65
2002;3;26;0;55;20;36.03;69.26;4.89
2001;11;1;15;49;46;18.84;92.18;3.98
2001;11;4;4;9;37;18.89;92.13;4.41
2001;11;23;11;7;42;18.84;92.18;4.44
2001;11;23;11;32;13;19.08;91.93;4.83
2001;11;30;15;38;53;29.15;81.59;4.3
2002;3;31;13;5;32;36.01;69.1;3.75
2002;3;25;14;56;36;35.96;69.18;6.08
2002;3;27;8;52;54;36.05;69.22;5.57
2001;6;1;19;11;37;31.75;77.62;3.87
2001;12;13;11;54;43;33.32;76.47;4.09
2001;12;14;21;42;30;25.25;96.59;3.76
2001;10;13;21;58;32;18.97;92.24;3.98
2001;10;26;9;20;40;18.72;92.15;4.52
2001;10;27;17;11;34;19.07;92.41;4.19
2001;10;27;17;13;4;18.88;92.37;4.52
2001;10;27;18;26;21;19.06;92.37;4.56
2001;10;27;19;3;26;18.87;92.38;4.41
2001;2;20;8;42;7;30.98;78.26;3.75
2002;4;12;4;0;25;35.85;69.27;5.85
2002;5;10;15;35;6;42.38;74.51;4.96
2002;4;11;4;41;0;36.03;69.26;3.76
2002;4;12;14;0;40;35.86;69.11;4.28
2002;4;16;15;30;40;36.51;69.78;4.46
2002;4;19;17;59;13;35.96;69.01;3.54
2002;5;23;5;3;52;34.32;76.57;4.59
2002;5;19;3;57;14;36.67;73.42;4.09
2002;2;17;5;22;56;33.09;76.07;3.98
2002;3;18;4;29;11;32.81;76.25;4.32
2002;4;16;22;52;39;40.9;128.45;4.67
2002;4;22;6;4;47;34.87;123.0;3.98
2002;6;4;9;33;18;36.0;69.12;4.21
2002;6;4;18;32;15;34.39;76.16;3.97
2002;6;29;13;30;9;35.94;70.88;4.09
2001;4;14;10;55;57;30.92;78.56;4.19
2001;7;11;19;44;32;29.46;81.57;4.09
2001;7;29;8;29;41;23.0;92.79;4.09
2001;10;4;21;50;52;18.93;92.28;3.76
2001;10;29;11;51;43;18.99;92.45;4.52
2001;11;1;13;20;32;19.06;92.44;3.44
2001;11;23;11;9;56;18.75;92.22;4.52
2001;11;23;13;33;35;19.65;92.61;3.65
2002;8;10;12;47;32;35.27;123.27;4.56
2002;10;8;4;48;14;31.65;77.29;4.56
2001;12;22;12;6;56;34.68;73.27;4.21
2002;2;27;22;59;59;30.8;78.48;4.74
2002;1;19;21;42;0;28.99;80.73;4.3
2002;4;12;4;50;15;35.22;69.77;3.87
2002;4;12;5;46;32;35.96;69.3;3.76
2002;4;16;9;15;56;36.15;69.39;4.09
2002;4;21;15;32;3;32.76;76.95;3.87
2002;4;25;8;26;45;34.38;76.69;3.87
2002;3;8;17;26;43;26.18;96.08;3.87
2002;3;15;7;29;6;34.06;76.55;3.98
2002;3;27;19;0;58;35.97;69.06;3.75
2002;5;28;7;5;31;34.51;76.05;3.76
2002;7;11;19;16;43;25.81;90.8;4.09
2002;6;28;9;48;30;33.55;76.72;3.76
2002;9;6;0;23;35;40.28;71.88;4.19
2002;8;1;19;31;34;37.16;72.71;3.98
2002;10;29;21;35;38;24.19;93.87;3.65
2002;11;2;5;21;36;35.42;75.01;3.98
2002;11;6;20;35;38;45.83;94.61;4.3
2002;11;21;14;48;50;35.29;74.66;3.98
2002;11;27;8;35;4;39.37;72.65;3.87
2002;11;30;4;28;35;38.83;70.64;4.09
2002;12;2;23;24;38;38.32;69.67;3.98
2002;12;11;0;47;6;35.73;75.21;3.65
2002;12;18;17;39;25;44.88;77.53;3.98
2002;12;29;20;15;50;35.52;74.85;3.98
2003;1;9;8;33;18;37.46;124.33;3.44
2003;1;20;12;54;34;27.19;97.21;3.98
2003;1;21;3;51;44;36.28;71.19;4.19
2003;2;15;21;37;30;25.93;90.59;4.09
2003;2;23;15;9;31;50.04;89.42;3.51
2003;3;9;0;33;55;40.93;73.13;4.09
2003;5;24;8;34;24;36.01;70.25;3.76
2003;5;31;7;16;58;20.8;103.05;4.28
2003;6;3;21;31;36;21.41;99.79;3.65
2003;7;3;9;23;48;50.47;90.79;4.77
2003;7;26;23;18;20;22.87;92.24;5.64
2003;7;27;11;0;47;22.6;92.03;4.21
2003;7;27;13;45;15;22.85;92.34;4.09
2003;7;29;2;42;29;37.89;70.06;4.96
2003;8;4;21;13;41;24.62;94.62;3.76
2003;8;14;16;50;54;16.86;95.8;3.98
2003;8;22;7;59;5;53.01;92.51;3.65
2003;8;31;19;22;59;39.48;72.73;3.76
2003;9;4;13;51;14;49.09;94.31;4.46
2003;9;5;15;9;6;22.16;98.83;3.87
2003;9;20;5;1;16;51.37;100.41;4.83
2003;9;21;18;34;41;19.47;95.64;4.19
2003;9;21;18;36;48;20.09;95.47;4.09
2003;9;21;18;45;15;19.7;95.47;3.98
2003;9;21;18;49;46;19.93;95.7;3.87
2003;9;21;18;55;21;19.88;95.44;3.98
2003;9;21;19;6;38;20.16;95.86;3.98
2003;9;21;19;11;1;19.35;95.58;4.09
2003;9;21;19;18;2;19.86;95.29;4.3
2003;9;21;19;29;15;19.93;96.1;3.76
2003;9;21;19;36;25;19.99;95.59;4.19
2003;9;21;19;50;57;19.84;95.64;3.76
2003;9;21;20;3;14;19.74;95.43;4.19
2003;9;21;20;7;49;20.1;95.82;3.54
2003;9;22;0;50;17;19.9;95.47;4.09
2003;9;22;1;38;18;19.54;95.62;4.09
2003;9;22;3;36;9;19.78;95.86;4.4
2003;9;22;4;29;8;19.85;95.57;4.41
2003;9;22;7;0;32;19.96;95.84;4.09
2003;9;22;7;55;5;19.32;95.52;4.9
2003;9;22;8;11;5;19.95;95.78;3.76
2003;9;22;10;50;58;19.03;95.41;4.46
2003;9;22;12;50;52;19.88;95.66;4.41
2003;9;22;16;43;31;19.54;95.31;3.65
2003;9;22;16;55;47;19.93;95.54;3.76
2003;9;22;21;16;33;19.91;95.59;4.3
2003;9;22;22;42;36;19.7;95.48;4.19
2003;9;22;23;51;36;19.81;95.88;3.98
2003;9;23;2;43;56;19.81;95.84;3.76
2003;9;23;11;53;43;20.07;95.87;4.3
2003;9;24;5;44;53;20.14;96.06;3.76
2003;9;24;13;55;5;19.92;95.92;3.87
2003;9;25;2;15;41;19.88;95.8;3.75
2003;9;25;9;0;9;19.81;95.58;3.87
2003;9;25;23;55;18;19.78;95.87;4.19
2003;9;27;11;48;37;50.06;88.09;4.63
2003;9;27;12;4;23;50.26;88.65;4.41
2003;9;27;12;9;38;49.99;88.23;4.19
2003;9;27;12;25;50;50.06;88.21;3.76
2003;9;27;12;29;58;50.11;88.37;3.87
2003;9;27;12;31;55;50.07;87.9;4.09
2003;9;27;12;42;17;49.98;88.09;4.09
2003;9;27;12;42;52;49.99;87.95;4.67
2003;9;27;12;46;22;49.93;87.66;4.41
2003;9;27;14;4;57;50.06;88.14;3.98
2003;9;27;14;9;49;50.24;87.78;3.87
2003;9;27;14;54;10;49.99;88.1;4.41
2003;9;27;15;7;21;50.01;87.09;3.98
2003;9;27;15;16;1;50.26;88.34;3.76
2003;9;27;15;41;32;50.15;87.73;4.09
2003;9;27;16;7;13;50.14;87.34;4.3
2003;9;27;16;22;8;50.26;87.75;3.98
2003;9;27;16;34;4;50.39;87.53;4.41
2003;9;27;16;40;19;50.19;87.84;3.87
2003;9;27;16;51;33;50.12;87.91;4.4
2003;9;27;17;13;55;50.13;88.14;4.41
2003;9;27;17;30;22;50.33;87.64;3.86
2003;9;27;17;41;48;50.07;88.14;4.09
2003;9;27;17;58;52;49.85;88.07;3.87
2003;9;27;19;49;28;50.26;87.78;5.45
2003;9;27;20;4;12;50.09;87.53;4.09
2003;9;27;20;12;15;50.35;86.85;3.98
2003;9;27;20;36;0;49.98;88.2;4.44
2003;9;27;20;37;27;50.22;88.26;4.21
2003;9;27;21;15;20;50.67;88.19;4.21
2003;9;27;23;40;29;49.99;88.47;5.39
2003;9;28;0;18;27;49.82;88.24;5.08
2003;9;28;0;35;12;50.29;87.83;3.54
2003;9;28;1;0;56;50.41;87.53;4.09
2003;9;28;4;51;8;50.08;88.26;4.19
2003;9;28;7;16;31;50.09;88.03;4.3
2003;9;28;7;34;41;50.41;87.52;3.98
2003;9;28;9;19;43;49.94;88.31;4.09
2003;9;28;10;23;12;19.82;95.93;3.76
2003;9;28;12;35;55;49.98;87.7;4.09
2003;9;28;13;10;10;50.05;88.03;3.76
2003;9;28;14;53;50;49.92;87.99;4.19
2003;9;28;15;31;19;50.43;87.42;4.34
2003;9;28;15;59;59;50.46;87.63;3.65
2003;9;28;20;12;17;50.1;88.45;4.56
2003;9;28;22;42;49;50.18;88.1;4.09
2003;9;28;23;30;53;50.32;87.82;4.19
2003;9;29;0;0;21;50.09;88.17;3.87
2003;9;29;5;32;51;50.41;87.36;3.54
2003;9;29;8;19;53;50.29;87.27;3.54
2003;9;29;9;11;8;50.24;87.8;3.76
2003;9;29;12;34;25;50.07;88.17;4.16
2003;9;29;15;13;54;49.99;88.24;3.54
2003;9;29;15;16;54;49.88;88.51;3.65
2003;9;29;15;41;29;50.01;87.59;3.65
2003;9;29;16;59;29;49.77;88.37;4.09
2003;9;30;0;43;32;50.19;87.81;3.87
2003;9;30;1;29;25;49.87;87.46;3.98
2003;9;30;5;4;9;49.97;88.22;4.19
2003;9;30;8;9;41;49.83;87.77;4.19
2003;9;30;9;12;11;49.42;88.65;3.87
2003;9;30;17;38;10;50.32;87.41;3.63
2003;9;30;18;34;32;50.08;86.56;3.76
2003;9;30;20;25;40;50.14;88.21;3.65
2005;6;4;5;57;54;15.31;94.08;4.71
2005;6;22;1;24;0;34.37;74.44;4.4
2003;10;1;0;16;18;49.99;87.72;3.63
2003;10;1;1;19;2;50.34;87.82;4.74
2003;10;1;1;30;2;50.25;87.98;4.09
2003;10;1;4;31;45;50.49;87.04;3.87
2003;10;1;4;46;2;50.31;87.64;3.87
2003;10;1;4;50;56;50.16;87.61;4.09
2003;10;1;5;44;6;50.31;87.59;4.83
2003;10;1;6;48;42;50.14;87.1;4.09
2003;10;1;7;16;30;50.0;87.55;4.19
2003;10;1;9;14;43;50.48;87.09;3.65
2003;10;1;9;40;57;50.09;87.99;3.54
2003;10;1;9;55;11;50.18;87.92;4.22
2003;10;1;12;37;40;50.27;87.61;4.65
2003;10;1;16;54;7;50.19;87.62;3.51
2003;10;1;22;18;42;50.09;87.54;4.22
2003;10;2;0;19;2;50.38;87.84;3.98
2003;10;2;1;52;1;50.29;87.47;4.3
2003;10;2;9;15;11;50.18;87.45;3.65
2003;10;2;12;32;10;50.17;87.38;3.86
2003;10;2;13;25;27;50.17;87.47;4.22
2003;10;2;15;9;48;50.42;87.55;4.53
2003;10;2;18;47;7;50.15;87.56;3.51
2003;10;2;20;51;56;19.94;95.88;4.21
2003;10;2;22;55;4;20.06;95.88;4.09
2003;10;2;23;19;14;50.13;86.99;4.74
2003;10;2;23;45;2;50.33;86.8;3.63
2003;10;3;3;16;25;50.36;87.22;4.71
2003;10;3;5;22;32;49.98;88.31;3.54
2003;10;3;8;36;8;50.26;87.28;3.65
2003;10;3;12;34;4;19.54;95.64;4.96
2003;10;3;14;59;60;49.92;88.41;3.76
2003;10;3;19;32;56;50.0;87.79;4.46
2003;10;4;9;34;42;50.21;87.56;3.76
2003;10;4;16;21;13;51.11;87.57;4.22
2003;10;4;18;30;18;50.61;87.31;4.46
2003;10;5;4;6;43;50.25;86.8;3.76
2003;10;5;9;40;56;50.36;88.1;3.54
2003;10;5;15;46;43;50.01;87.36;4.3
2003;10;6;0;2;46;50.24;87.13;3.54
2003;10;6;10;18;15;50.33;87.43;4.65
2003;10;7;20;37;48;50.2;86.94;3.63
2003;10;8;6;50;24;49.97;87.86;4.34
2003;10;9;2;12;8;50.2;87.85;4.09
2003;10;9;15;34;41;20.06;95.62;3.98
2003;10;9;16;18;13;50.78;87.83;4.21
2003;10;9;19;23;5;50.13;86.85;3.86
2003;10;10;1;46;27;49.97;87.51;4.3
2003;10;10;7;4;51;23.45;95.06;4.09
2003;10;10;21;1;58;49.93;87.65;4.34
2003;10;12;0;45;21;19.86;95.72;3.65
2003;10;13;13;0;4;50.11;87.33;3.87
2003;10;13;21;40;33;49.93;87.07;3.54
2003;10;14;22;56;48;27.75;96.58;3.65
2003;10;15;6;52;46;50.27;87.62;4.3
